monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
WN_FC2013395338;2013-12-11 09:55;IONEN;Calcium na filtratie (mg/l);86.0;mg/l;125290;470063
WN_FC2013395381;2013-12-12 13:01;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119540;476400
WN_FC2014396953;2014-01-16 11:29;IONEN;Calcium na filtratie (mg/l);120.0;mg/l;119540;476400
WN_FC2014397174;2014-01-16 13:04;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;125742;475126
WN_FC2014398443;2014-02-05 09:05;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119445;463875
WN_FC2014398566;2014-02-05 10:15;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;119540;476400
WN_FC2014398497;2014-02-06 11:09;IONEN;Calcium na filtratie (mg/l);72.0;mg/l;128859;480426
WN_FC2014398888;2014-02-10 09:46;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;119349;493061
WN_FC2014399074;2014-02-13 09:28;IONEN;Calcium na filtratie (mg/l);87.0;mg/l;125742;475126
WN_FC2014399029;2014-02-18 10:05;IONEN;Calcium na filtratie (mg/l);90.0;mg/l;125290;470063
WN_FC2014400671;2014-03-10 10:17;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119540;476400
WN_FC2014400867;2014-03-13 09:40;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;125742;475126
WN_FC2014402042;2014-04-02 09:28;IONEN;Calcium na filtratie (mg/l);77.0;mg/l;128859;480426
WN_FC2014402559;2014-04-07 09:26;IONEN;Calcium na filtratie (mg/l);92.0;mg/l;119349;493061
WN_FC2014402591;2014-04-08 08:48;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;119445;463875
WN_FC2014402691;2014-04-09 10:50;IONEN;Calcium na filtratie (mg/l);96.0;mg/l;125290;470063
WN_FC2014402623;2014-04-09 10:57;IONEN;Calcium na filtratie (mg/l);92.0;mg/l;119540;476400
WN_FC2014402721;2014-04-10 11:46;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;125742;475126
WN_FC2014405161;2014-05-12 10:47;IONEN;Calcium na filtratie (mg/l);88.0;mg/l;119540;476400
WN_FC2014405738;2014-05-16 12:08;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;125742;475126
WN_FC2014406906;2014-06-02 09:20;IONEN;Calcium na filtratie (mg/l);90.0;mg/l;119349;493061
WN_FC2014407748;2014-06-11 11:45;IONEN;Calcium na filtratie (mg/l);88.0;mg/l;125290;470063
WN_FC2014408370;2014-06-13 08:53;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;119540;476400
WN_FC2014406999;2014-06-13 09:20;IONEN;Calcium na filtratie (mg/l);62.0;mg/l;128859;480426
WN_FC2014408612;2014-06-20 09:28;IONEN;Calcium na filtratie (mg/l);95.0;mg/l;125742;475126
WN_FC2014409990;2014-06-24 10:04;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;119445;463875
WN_FC2014410490;2014-06-30 09:15;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;119349;493061
WN_FC2014410870;2014-07-03 10:15;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119540;476400
WN_FC2014410812;2014-07-03 13:27;IONEN;Calcium na filtratie (mg/l);69.0;mg/l;128859;480426
WN_FC2014411155;2014-07-07 12:40;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;125742;475126
